29.5	0.00359431	0.00139402
29.6	0.00390191	0.00139883
29.7	0.00770834	0.001398
29.8	0.00301812	0.00139874
29.9	0.00505186	0.00140016
30	0.00389428	0.00139786
30.1	0.00484975	0.00140112
30.2	0.00596682	0.00139583
30.3	0.00532366	0.0013987
30.4	0.006896	0.00139996
30.5	0.00293423	0.00140317
30.6	0.00439483	0.00139813
30.7	0.00345065	0.00139871
30.8	0.00349163	0.0013951
30.9	0.00301852	0.00140345
31	0.0019189	0.00140413
31.1	0.00267327	0.00139877
31.2	0.00243229	0.00139795
31.3	0.00328166	0.00139474
31.4	0.00169186	0.00139913
31.5	0.00404799	0.00139737
31.6	0.00119214	0.00139571
31.7	0.00335397	0.00139325
31.8	0.00258978	0.00139659
31.9	9.53038e-05	0.00139538
32	-0.000930357	0.00139631
32.1	-0.0051997	0.00139895
32.2	-0.0184348	0.00139555
32.3	-0.033803	0.00139811
32.4	-0.0437858	0.0013961
32.5	-0.0289013	0.00139257
32.6	-0.0114325	0.00139858
32.7	-0.00331668	0.00139995
32.8	-0.00346059	0.00139773
32.9	0.00299925	0.00139819
33	0.00323816	0.0013996
33.1	0.00241572	0.00139573
33.2	0.00348121	0.00139958
33.3	0.00335472	0.00139625
33.4	0.00471392	0.00139945
33.5	0.00320249	0.00139666
33.6	0.00320034	0.00139693
33.7	0.00414016	0.0013965
33.8	0.00611356	0.00139808
33.9	0.00531155	0.00139775
34	0.00491079	0.00139837
34.1	0.00450079	0.00139757
34.2	0.00369385	0.00139861
34.3	0.00482239	0.00140011
34.4	0.00441007	0.00139776
